names	celltype
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-2_147	Heart
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-3_147	Neural
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-4_147	Endoderm
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-5_147	Neural
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-6_147	Neural
PZ-MB-TChIC-Gastd5-rep2-H3K4me3-1_147	Neural
PZ-MB-TChIC-Gastd5-rep2-H3K4me3-2_147	Neural
PZ-MB-TChIC-Gastd5-rep2-H3K4me3-3_147	Somite_wavefront
PZ-MB-TChIC-Gastd5-rep2-H3K4me3-5_147	Neural
PZ-MB-TChIC-Gastd5-rep2-H3K4me3-6_147	Somite_wavefront
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-1_156	Somite
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-2_156	Neural
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-3_156	Heart
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-4_156	Neural
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-5_156	PGCs
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-6_156	Haemogenic
PZ-MB-TChIC-Gastd5-rep2-H3K4me3-1_156	Somite_wavefront
PZ-MB-TChIC-Gastd5-rep2-H3K4me3-2_156	Heart
PZ-MB-TChIC-Gastd5-rep2-H3K4me3-3_156	Neural
PZ-MB-TChIC-Gastd5-rep2-H3K4me3-4_156	Heart
PZ-MB-TChIC-Gastd5-rep2-H3K4me3-5_156	Somite_wavefront
PZ-MB-TChIC-Gastd5-rep2-H3K4me3-6_156	PGCs
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-1_56	Somite
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-2_56	Haemogenic
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-3_56	Somite
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-4_56	Neural
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-5_56	Endoderm
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-6_56	Heart
PZ-MB-TChIC-Gastd5-rep2-H3K4me3-1_56	Neural
PZ-MB-TChIC-Gastd5-rep2-H3K4me3-2_56	Neural
PZ-MB-TChIC-Gastd5-rep2-H3K4me3-3_56	Neural
PZ-MB-TChIC-Gastd5-rep2-H3K4me3-4_56	Neural
PZ-MB-TChIC-Gastd5-rep2-H3K4me3-5_56	Mesoderm
PZ-MB-TChIC-Gastd5-rep2-H3K4me3-6_56	Tailbud
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-1_284	Somite
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-2_284	Neural_tube
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-3_284	Tailbud
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-4_284	Heart
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-5_284	Spinal_cord
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-6_284	Tailbud
PZ-MB-TChIC-Gastd5-rep2-H3K4me3-1_284	Tailbud
PZ-MB-TChIC-Gastd5-rep2-H3K4me3-2_284	Neural
PZ-MB-TChIC-Gastd5-rep2-H3K4me3-3_284	Neural
PZ-MB-TChIC-Gastd5-rep2-H3K4me3-4_284	Neural_tube
PZ-MB-TChIC-Gastd5-rep2-H3K4me3-5_284	Neural
PZ-MB-TChIC-Gastd5-rep2-H3K4me3-6_284	Somite_wavefront
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-1_24	Tailbud
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-2_24	PGCs
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-3_24	Somite
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-4_24	Haemogenic
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-5_24	Neural
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-6_24	Heart
PZ-MB-TChIC-Gastd5-rep2-H3K4me3-1_24	Tailbud
PZ-MB-TChIC-Gastd5-rep2-H3K4me3-2_24	Heart
PZ-MB-TChIC-Gastd5-rep2-H3K4me3-3_24	Neural
PZ-MB-TChIC-Gastd5-rep2-H3K4me3-4_24	Tailbud
PZ-MB-TChIC-Gastd5-rep2-H3K4me3-5_24	Tailbud
PZ-MB-TChIC-Gastd5-rep2-H3K4me3-6_24	Mesoderm
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-1_91	Somite
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-2_91	Heart
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-3_91	Somite_wavefront
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-4_91	Mesoderm
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-5_91	Spinal_cord
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-6_91	Somite
PZ-MB-TChIC-Gastd5-rep2-H3K4me3-1_91	Neural
PZ-MB-TChIC-Gastd5-rep2-H3K4me3-2_91	Somite
PZ-MB-TChIC-Gastd5-rep2-H3K4me3-3_91	Heart
PZ-MB-TChIC-Gastd5-rep2-H3K4me3-5_91	Endoderm
PZ-MB-TChIC-Gastd5-rep2-H3K4me3-6_91	Somite
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-1_269	Mesoderm
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-2_269	Mesoderm
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-3_269	Endoderm
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-4_269	Neural
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-5_269	PGCs
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-6_269	Mesoderm
PZ-MB-TChIC-Gastd5-rep2-H3K4me3-1_269	Mesoderm
PZ-MB-TChIC-Gastd5-rep2-H3K4me3-2_269	PGCs
PZ-MB-TChIC-Gastd5-rep2-H3K4me3-3_269	Haemogenic
PZ-MB-TChIC-Gastd5-rep2-H3K4me3-4_269	Neural
PZ-MB-TChIC-Gastd5-rep2-H3K4me3-5_269	Mesoderm
PZ-MB-TChIC-Gastd5-rep2-H3K4me3-6_269	Somite
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-1_196	Mesoderm
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-2_196	Neural
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-3_196	Endoderm
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-4_196	Mesoderm
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-5_196	Heart
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-6_196	Tailbud
PZ-MB-TChIC-Gastd5-rep2-H3K4me3-1_196	Somite
PZ-MB-TChIC-Gastd5-rep2-H3K4me3-2_196	Neural
PZ-MB-TChIC-Gastd5-rep2-H3K4me3-3_196	Heart
PZ-MB-TChIC-Gastd5-rep2-H3K4me3-4_196	Neural
PZ-MB-TChIC-Gastd5-rep2-H3K4me3-5_196	Heart
PZ-MB-TChIC-Gastd5-rep2-H3K4me3-6_196	Mesoderm
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-1_205	PGCs
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-2_205	Heart
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-3_205	Neural
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-4_205	Neural
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-5_205	Somite
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-6_205	Somite
PZ-MB-TChIC-Gastd5-rep2-H3K4me3-1_205	Somite
PZ-MB-TChIC-Gastd5-rep2-H3K4me3-3_205	Haemogenic
PZ-MB-TChIC-Gastd5-rep2-H3K4me3-4_205	Haemogenic
PZ-MB-TChIC-Gastd5-rep2-H3K4me3-5_205	PGCs
PZ-MB-TChIC-Gastd5-rep2-H3K4me3-6_205	Somite
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-1_360	Mystery
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-2_360	Somite
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-3_360	Mesoderm
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-5_360	Somite_wavefront
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-6_360	Spinal_cord
PZ-MB-TChIC-Gastd5-rep2-H3K4me3-1_360	Endoderm
PZ-MB-TChIC-Gastd5-rep2-H3K4me3-2_360	13
PZ-MB-TChIC-Gastd5-rep2-H3K4me3-3_360	Somite_wavefront
PZ-MB-TChIC-Gastd5-rep2-H3K4me3-4_360	Tailbud
PZ-MB-TChIC-Gastd5-rep2-H3K4me3-5_360	Neural
PZ-MB-TChIC-Gastd5-rep2-H3K4me3-6_360	Mesoderm
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-1_279	Mesoderm
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-2_279	Somite
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-3_279	Mesoderm
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-4_279	PGCs
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-5_279	Endoderm
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-6_279	Heart
PZ-MB-TChIC-Gastd5-rep2-H3K4me3-1_279	PGCs
PZ-MB-TChIC-Gastd5-rep2-H3K4me3-2_279	Somite
PZ-MB-TChIC-Gastd5-rep2-H3K4me3-3_279	Somite
PZ-MB-TChIC-Gastd5-rep2-H3K4me3-4_279	PGCs
PZ-MB-TChIC-Gastd5-rep2-H3K4me3-5_279	Somite
PZ-MB-TChIC-Gastd5-rep2-H3K4me3-6_279	Somite
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-1_74	Heart
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-2_74	Mesoderm
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-3_74	Heart
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-4_74	Somite
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-5_74	Heart
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-6_74	Neural
PZ-MB-TChIC-Gastd5-rep2-H3K4me3-1_74	Neural
PZ-MB-TChIC-Gastd5-rep2-H3K4me3-2_74	Somite_wavefront
PZ-MB-TChIC-Gastd5-rep2-H3K4me3-3_74	Heart
PZ-MB-TChIC-Gastd5-rep2-H3K4me3-4_74	Somite
PZ-MB-TChIC-Gastd5-rep2-H3K4me3-5_74	Somite
PZ-MB-TChIC-Gastd5-rep2-H3K4me3-6_74	Somite
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-1_303	Neural
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-2_303	Somite
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-3_303	Heart
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-4_303	Mesoderm
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-5_303	Tailbud
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-6_303	Tailbud
PZ-MB-TChIC-Gastd5-rep2-H3K4me3-1_303	Mesoderm
PZ-MB-TChIC-Gastd5-rep2-H3K4me3-2_303	Mesoderm
PZ-MB-TChIC-Gastd5-rep2-H3K4me3-3_303	Mesoderm
PZ-MB-TChIC-Gastd5-rep2-H3K4me3-4_303	Somite
PZ-MB-TChIC-Gastd5-rep2-H3K4me3-5_303	PGCs
PZ-MB-TChIC-Gastd5-rep2-H3K4me3-6_303	Somite
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-1_41	Mesoderm
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-2_41	Mesoderm
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-3_41	Neural
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-4_41	Endoderm
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-5_41	Mesoderm
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-6_41	Neural
PZ-MB-TChIC-Gastd5-rep2-H3K4me3-1_41	Neural
PZ-MB-TChIC-Gastd5-rep2-H3K4me3-2_41	Endoderm
PZ-MB-TChIC-Gastd5-rep2-H3K4me3-3_41	Tailbud
PZ-MB-TChIC-Gastd5-rep2-H3K4me3-4_41	Mesoderm
PZ-MB-TChIC-Gastd5-rep2-H3K4me3-5_41	Endoderm
PZ-MB-TChIC-Gastd5-rep2-H3K4me3-6_41	Mesoderm
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-1_298	Endoderm
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-2_298	Haemogenic
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-3_298	Mesoderm
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-4_298	Heart
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-5_298	Somite
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-6_298	Somite
PZ-MB-TChIC-Gastd5-rep2-H3K4me3-1_298	Neural
PZ-MB-TChIC-Gastd5-rep2-H3K4me3-2_298	Mesoderm
PZ-MB-TChIC-Gastd5-rep2-H3K4me3-3_298	Mesoderm
PZ-MB-TChIC-Gastd5-rep2-H3K4me3-4_298	Endoderm
PZ-MB-TChIC-Gastd5-rep2-H3K4me3-5_298	Mesoderm
PZ-MB-TChIC-Gastd5-rep2-H3K4me3-6_298	PGCs
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-1_29	Heart
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-2_29	13
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-3_29	Mesoderm
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-4_29	Mesoderm
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-5_29	Somite
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-6_29	Somite
PZ-MB-TChIC-Gastd5-rep2-H3K4me3-1_29	Somite
PZ-MB-TChIC-Gastd5-rep2-H3K4me3-2_29	Mesoderm
PZ-MB-TChIC-Gastd5-rep2-H3K4me3-3_29	Haemogenic
PZ-MB-TChIC-Gastd5-rep2-H3K4me3-4_29	Neural
PZ-MB-TChIC-Gastd5-rep2-H3K4me3-5_29	Mesoderm
PZ-MB-TChIC-Gastd5-rep2-H3K4me3-6_29	Somite
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-1_204	Mesoderm
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-2_204	Neural
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-3_204	Tailbud
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-4_204	Somite_wavefront
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-5_204	Heart
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-6_204	PGCs
PZ-MB-TChIC-Gastd5-rep2-H3K4me3-1_204	Heart
PZ-MB-TChIC-Gastd5-rep2-H3K4me3-2_204	13
PZ-MB-TChIC-Gastd5-rep2-H3K4me3-3_204	Somite_wavefront
PZ-MB-TChIC-Gastd5-rep2-H3K4me3-4_204	Mesoderm
PZ-MB-TChIC-Gastd5-rep2-H3K4me3-5_204	Mesoderm
PZ-MB-TChIC-Gastd5-rep2-H3K4me3-6_204	Tailbud
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-1_288	Heart
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-2_288	Mesoderm
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-3_288	Neural
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-4_288	Somite
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-5_288	Haemogenic
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-6_288	Neural
PZ-MB-TChIC-Gastd5-rep2-H3K4me3-1_288	Tailbud
PZ-MB-TChIC-Gastd5-rep2-H3K4me3-2_288	Spinal_cord
PZ-MB-TChIC-Gastd5-rep2-H3K4me3-3_288	Heart
PZ-MB-TChIC-Gastd5-rep2-H3K4me3-4_288	Mesoderm
PZ-MB-TChIC-Gastd5-rep2-H3K4me3-5_288	Mesoderm
PZ-MB-TChIC-Gastd5-rep2-H3K4me3-6_288	Endoderm
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-1_153	Tailbud
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-2_153	Mesoderm
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-3_153	Heart
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-4_153	Neural
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-5_153	Neural
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-6_153	Mesoderm
PZ-MB-TChIC-Gastd5-rep2-H3K4me3-1_153	Tailbud
PZ-MB-TChIC-Gastd5-rep2-H3K4me3-2_153	Tailbud
PZ-MB-TChIC-Gastd5-rep2-H3K4me3-3_153	Tailbud
PZ-MB-TChIC-Gastd5-rep2-H3K4me3-4_153	Endoderm
PZ-MB-TChIC-Gastd5-rep2-H3K4me3-5_153	Somite
PZ-MB-TChIC-Gastd5-rep2-H3K4me3-6_153	PGCs
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-1_263	Endoderm
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-2_263	Endoderm
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-3_263	PGCs
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-4_263	Haemogenic
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-5_263	Tailbud
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-6_263	Heart
PZ-MB-TChIC-Gastd5-rep2-H3K4me3-1_263	Spinal_cord
PZ-MB-TChIC-Gastd5-rep2-H3K4me3-2_263	Spinal_cord
PZ-MB-TChIC-Gastd5-rep2-H3K4me3-3_263	Somite_wavefront
PZ-MB-TChIC-Gastd5-rep2-H3K4me3-4_263	PGCs
PZ-MB-TChIC-Gastd5-rep2-H3K4me3-5_263	Neural
PZ-MB-TChIC-Gastd5-rep2-H3K4me3-6_263	Heart
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-1_150	Somite_wavefront
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-2_150	Mesoderm
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-3_150	PGCs
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-4_150	Somite
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-5_150	Spinal_cord
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-6_150	Somite
PZ-MB-TChIC-Gastd5-rep2-H3K4me3-1_150	Mesoderm
PZ-MB-TChIC-Gastd5-rep2-H3K4me3-2_150	Somite
PZ-MB-TChIC-Gastd5-rep2-H3K4me3-3_150	Endoderm
PZ-MB-TChIC-Gastd5-rep2-H3K4me3-4_150	Somite
PZ-MB-TChIC-Gastd5-rep2-H3K4me3-5_150	Mesoderm
PZ-MB-TChIC-Gastd5-rep2-H3K4me3-6_150	Somite
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-1_347	Somite
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-2_347	Somite
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-3_347	Heart
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-4_347	Haemogenic
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-5_347	Neural
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-6_347	Haemogenic
PZ-MB-TChIC-Gastd5-rep2-H3K4me3-1_347	Somite
PZ-MB-TChIC-Gastd5-rep2-H3K4me3-2_347	Endoderm
PZ-MB-TChIC-Gastd5-rep2-H3K4me3-3_347	Heart
PZ-MB-TChIC-Gastd5-rep2-H3K4me3-4_347	Endoderm
PZ-MB-TChIC-Gastd5-rep2-H3K4me3-5_347	Somite
PZ-MB-TChIC-Gastd5-rep2-H3K4me3-6_347	Neural
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-1_383	Somite
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-2_383	Somite
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-3_383	Neural
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-4_383	Neural
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-5_383	Endoderm
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-6_383	Somite
PZ-MB-TChIC-Gastd5-rep2-H3K4me3-1_383	Endoderm
PZ-MB-TChIC-Gastd5-rep2-H3K4me3-2_383	Neural
PZ-MB-TChIC-Gastd5-rep2-H3K4me3-3_383	Neural_tube
PZ-MB-TChIC-Gastd5-rep2-H3K4me3-4_383	Mesoderm
PZ-MB-TChIC-Gastd5-rep2-H3K4me3-5_383	Somite
PZ-MB-TChIC-Gastd5-rep2-H3K4me3-6_383	Somite
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-1_361	Neural
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-2_361	Mesoderm
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-3_361	Mesoderm
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-4_361	Somite
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-5_361	Neural
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-6_361	Mesoderm
PZ-MB-TChIC-Gastd5-rep2-H3K4me3-1_361	Neural
PZ-MB-TChIC-Gastd5-rep2-H3K4me3-2_361	Neural
PZ-MB-TChIC-Gastd5-rep2-H3K4me3-3_361	Mesoderm
PZ-MB-TChIC-Gastd5-rep2-H3K4me3-4_361	Neural
PZ-MB-TChIC-Gastd5-rep2-H3K4me3-5_361	Neural
PZ-MB-TChIC-Gastd5-rep2-H3K4me3-6_361	Somite_wavefront
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-1_46	Neural
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-2_46	Mesoderm
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-3_46	Neural
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-4_46	Heart
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-5_46	PGCs
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-6_46	Mesoderm
PZ-MB-TChIC-Gastd5-rep2-H3K4me3-1_46	Neural
PZ-MB-TChIC-Gastd5-rep2-H3K4me3-2_46	Heart
PZ-MB-TChIC-Gastd5-rep2-H3K4me3-3_46	Mesoderm
PZ-MB-TChIC-Gastd5-rep2-H3K4me3-4_46	Neural
PZ-MB-TChIC-Gastd5-rep2-H3K4me3-5_46	Neural
PZ-MB-TChIC-Gastd5-rep2-H3K4me3-6_46	Neural
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-1_94	13
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-2_94	Neural
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-3_94	Heart
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-4_94	Somite_wavefront
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-5_94	Heart
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-6_94	Mesoderm
PZ-MB-TChIC-Gastd5-rep2-H3K4me3-1_94	Heart
PZ-MB-TChIC-Gastd5-rep2-H3K4me3-2_94	Mesoderm
PZ-MB-TChIC-Gastd5-rep2-H3K4me3-3_94	Mesoderm
PZ-MB-TChIC-Gastd5-rep2-H3K4me3-4_94	Haemogenic
PZ-MB-TChIC-Gastd5-rep2-H3K4me3-5_94	Tailbud
PZ-MB-TChIC-Gastd5-rep2-H3K4me3-6_94	Somite
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-1_240	PGCs
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-2_240	Mesoderm
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-5_240	Endoderm
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-6_240	Endoderm
PZ-MB-TChIC-Gastd5-rep2-H3K4me3-2_240	Mesoderm
PZ-MB-TChIC-Gastd5-rep2-H3K4me3-4_240	Somite_wavefront
PZ-MB-TChIC-Gastd5-rep2-H3K4me3-5_240	Somite_wavefront
PZ-MB-TChIC-Gastd5-rep2-H3K4me3-6_240	Haemogenic
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-1_206	Somite_wavefront
